measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2011,2544.8390847181627,3060.676651674092,2078.90549286269
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2012,2423.4958069288987,2933.2783714827574,1980.7717031142272
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2013,2357.2503991569934,2840.585326498267,1923.7640889694208
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2014,2270.3968678135902,2773.382375228556,1862.7570318722685
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2015,2158.4548798060214,2611.5881893668384,1751.411774315663
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2016,2154.150405157154,2633.5478951059417,1738.0057997779832
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2017,2150.4390085539385,2686.025694388037,1716.4544185691088
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2018,2126.090933690979,2647.545795764963,1656.489149018078
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2019,2088.25241807079,2623.883785405385,1606.5776114445912
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2020,2066.2205257580995,2591.494174976344,1589.1561800527577
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2021,2053.211857302525,2584.4893745877885,1576.255580300134
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1990,5363.813572613862,6613.50784672996,4038.683916697367
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1991,5473.240523627275,6735.81649352147,4151.282611355387
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1992,5439.686844626416,6693.879822662188,4037.1031718642025
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1993,5387.541884936466,6518.625680881698,4063.568680295368
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1994,5333.977680834161,6486.353864866636,4051.287678478402
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1995,5183.375471504569,6283.437809304165,3893.922556859335
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1996,5095.862540982603,6199.697333360629,3798.828667670901
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1997,4938.156318561554,5987.141949999408,3720.434016472372
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1998,4821.8331000613125,5928.644491178604,3648.958349223533
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,1999,4678.007835288353,5700.453610091781,3562.322101445868
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2000,4517.678097213432,5471.86355805279,3401.259078480033
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2001,4386.416859563525,5307.160088662411,3364.9074863841324
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2002,4161.270994700387,5051.236883712172,3198.970947119787
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2003,3950.842077466316,4794.55312781246,3098.726330187462
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2004,3754.134971091945,4562.980398458854,2981.368688205379
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2005,3574.77739011424,4363.96580288207,2842.263051035842
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2006,3492.6117031780827,4253.157698202278,2826.190356031041
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2007,3396.8785019426123,4126.555740792775,2739.602270642318
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2008,3275.9963414635563,3983.804300990496,2622.292536541325
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2009,3166.0076664069898,3869.05999531841,2555.9264641068357
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2010,3050.375142915247,3671.023285968312,2472.909794278104
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2011,2988.273710677689,3541.1589077850317,2432.357273408752
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2012,2858.51852002667,3428.6890840717983,2293.1235467187835
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2013,2783.760975576577,3391.7182565918847,2252.272281948176
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2014,2695.644269142292,3274.9256304950013,2187.618863083076
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2015,2584.863531368152,3180.137382378216,2087.129205153536
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2016,2586.614082769696,3182.6115934203463,2063.094885140773
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2017,2592.0196161113413,3233.1709353326696,2046.4488179659204
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2018,2578.892862266093,3228.7479995221,2002.8847994543144
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2019,2535.140008487739,3196.391565342208,1961.903905451895
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2020,2494.836713109601,3142.866000764953,1924.0042251992188
1,Deaths,1,Global,3,Both,11,30-34 years,294,All causes,173,Cholera,1,Number,2021,2465.919802064069,3133.7945809695684,1891.2034330764477
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1990,6062.355544542083,7521.251131263943,4498.147744594309
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1991,6145.232369691034,7648.158210466803,4617.829101096649
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1992,6096.746212861037,7587.00014687558,4569.425418531567
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1993,6026.484843199288,7462.0656058268305,4533.807855724208
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1994,5969.9161504998665,7342.056404471291,4506.0364459746415
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1995,5832.138728920818,7159.624906776185,4399.082119950074
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1996,5753.310655955185,7006.048812886719,4270.892806871744
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1997,5588.387932604425,6848.869139363194,4198.858081551934
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1998,5465.662888116908,6761.833616669408,4145.9691151622455
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,1999,5308.036814877888,6504.338086370941,4011.322685619944
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2000,5137.645304041021,6260.081158763996,3905.0913869583055
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2001,5011.249312330566,6093.848423549475,3811.186659251898
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2002,4759.056261585192,5757.840177500788,3619.4028836050666
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2003,4503.127460477785,5474.2924515338345,3496.8547296922907
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2004,4263.154340554733,5268.073326036859,3280.7296972507447
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2005,4052.344866561712,4932.057535762091,3168.313403016633
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2006,3951.201892566844,4828.199891924845,3122.418930148572
1,Deaths,1,Global,3,Both,12,35-39 years,294,All causes,173,Cholera,1,Number,2007,3841.582218018839,4753.7719943808,3039.817486163184
